date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-09-20,92.3,92.33,89.85,89.01,2487020.75,-2.49,-2.7,90.02,88.639,85.771,2920936.1,2847380.78,3152238.34
2019-09-12,91.37,92.5,92.34,88.75,2435858.25,1.64,1.81,89.542,88.529,85.583,3078972.95,2877933.8,3121111.21
2019-09-06,87.0,90.7,90.7,86.88,3450830.25,3.38,3.87,87.944,88.38,85.122,3240635.2,2963125.15,3185708.88
2019-08-30,88.3,88.8,87.32,86.17,3303175.0,-2.57,-2.86,87.01,88.171,84.937,3066942.85,2969411.98,3205392.89
2019-08-23,88.3,90.26,89.89,87.25,2927796.25,2.43,2.78,87.566,88.236,84.593,2870354.25,3072888.93,3219478.59
2019-08-16,84.46,88.3,87.46,83.53,3277205.0,3.11,3.69,87.258,87.222,84.108,2773825.45,3073630.05,3247845.52
2019-08-09,85.06,85.86,84.35,82.15,3244169.5,-1.68,-1.95,87.516,86.187,83.59,2676894.65,2940221.96,3298930.72
2019-08-02,89.84,90.9,86.03,85.5,2582368.5,-4.07,-4.52,88.816,85.652,83.109,2685615.1,2959504.19,3379981.79
2019-07-26,88.32,90.17,90.1,87.1,2320232.0,1.75,1.98,89.332,84.699,82.5,2871881.1,2942152.04,3522751.24
2019-07-19,88.1,88.77,88.35,86.33,2445152.25,-0.4,-0.45,88.906,83.599,81.43,3275423.6,3084635.44,3638456.54
2019-07-12,89.99,89.99,88.75,86.99,2792551.0,-2.1,-2.31,87.186,82.902,80.632,3373434.65,3457095.91,3831965.26
2019-07-05,90.6,92.47,90.85,89.35,3287771.75,2.24,2.53,84.858,82.637,79.545,3203549.27,3364288.61,3852674.41
2019-06-28,87.9,89.32,88.61,85.32,3513698.5,0.64,0.73,82.488,81.863,78.165,3233393.27,3408292.61,3810079.87
2019-06-21,79.8,88.56,87.97,79.5,4337944.5,8.22,10.31,80.066,81.702,76.895,3012422.97,3441373.81,3755246.69
2019-06-14,77.79,81.91,79.75,77.49,2935207.5,2.64,3.42,78.292,80.949,75.561,2893847.27,3366068.26,3662156.89
